name,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,type,movement
TOPBOY (feat. Noyz Narcos),Lazza,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",0.72,0.788,9,-6.637,0,0.281,0.215,0.0,0.105,0.282,93.331,206494,4,walk,"[0.5, 0.6, 0.7]"
Diluvio A Luglio (feat. Marracash),Tedua,"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",0.717,0.729,8,-6.883,1,0.0566,0.113,0.0,0.135,0.241,98.034,191240,4,walk,"[0.5, 0.6, 0.7]"
Un Briciolo Di Allegria (con MINA),BLANCO,"['italian hip hop', 'italian pop']",0.617,0.707,2,-4.31,1,0.0399,0.467,0.0,0.0481,0.392,91.925,207615,4,walk,"[0.5, 0.6, 0.7]"
Santana Season,Shiva,"['italian hip hop', 'italian pop', 'trap italiana']",0.572,0.766,2,-5.591,1,0.268,0.159,0.0,0.322,0.223,98.06,167663,4,walk,"[0.5, 0.6, 0.7]"
VETRI NERI,AVA,"['italian hip hop', 'trap italiana']",0.754,0.767,6,-4.98,1,0.0594,0.0763,4.79e-05,0.112,0.529,134.084,164776,4,walk,"[0.5, 0.6, 0.7]"
COME VUOI,Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",0.756,0.631,8,-5.297,0,0.0502,0.13,0.0,0.0649,0.896,130.052,172615,4,walk,"[0.5, 0.6, 0.7]"
SONNY - city of god,Emis Killa,"['italian hip hop', 'italian pop']",0.814,0.639,6,-7.017,0,0.113,0.371,0.0,0.0859,0.414,123.859,190520,4,walk,"[0.5, 0.6, 0.7]"
BUONANOTTE,Ernia,"['italian hip hop', 'italian pop', 'milan indie']",0.531,0.514,8,-12.734,1,0.424,0.879,1.27e-06,0.111,0.571,85.854,220299,4,walk,"[0.5, 0.6, 0.7]"
Angelo All'Inferno (feat. Salmo & Federica Abbate),Tedua,"['indie liguria', 'italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",0.573,0.798,7,-7.527,0,0.225,0.309,0.0,0.0841,0.0816,89.575,173040,4,walk,"[0.5, 0.6, 0.7]"
"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)",Drillionaire,['italian hip hop'],0.676,0.81,11,-5.209,1,0.0411,0.0815,1.92e-06,0.154,0.656,129.986,238534,4,walk,"[0.5, 0.6, 0.7]"
Soli (feat. Tiago PZK & Rvssian),Shiva,"['italian hip hop', 'italian pop', 'trap italiana']",0.61,0.742,10,-7.122,0,0.336,0.177,0.000254,0.176,0.382,214.047,183896,4,walk,"[0.5, 0.6, 0.7]"
CINEMA,Lazza,"['italian hip hop', 'italian pop', 'rap genovese', 'trap italiana']",0.557,0.715,7,-5.894,0,0.0622,0.0585,0.0,0.0998,0.22,93.976,201140,4,walk,"[0.5, 0.6, 0.7]"
2 SECONDI,Geolier,"['italian hip hop', 'italian pop', 'rap napoletano', 'trap italiana']",0.66,0.755,9,-5.96,0,0.164,0.293,0.0,0.055,0.605,120.035,149000,4,walk,"[0.5, 0.6, 0.7]"
SENZ'ANIMA - nikita,Emis Killa,"['italian hip hop', 'italian pop']",0.489,0.697,9,-5.41,0,0.173,0.225,0.0,0.115,0.532,97.243,193453,3,walk,"[0.5, 0.6, 0.7]"
BELLA FREGATURA,Ernia,"['italian hip hop', 'italian pop', 'milan indie']",0.626,0.664,8,-5.745,1,0.306,0.109,0.0,0.0959,0.414,167.838,174103,4,walk,"[0.5, 0.6, 0.7]"
