name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,mouvement,liked
MOLOTOV,Lazza,0.613,0.96,5,-4.343,0,0.0542,0.265,0.0,0.24,0.669,159.98,160205,4,0.8,1
Red Light,Tedua,0.558,0.624,4,-6.567,1,0.0439,0.0678,0.0,0.0746,0.574,66.512,167867,4,0.5,1
Giulia,BLANCO,0.6,0.841,1,-3.55,1,0.0811,0.146,0.0,0.126,0.488,163.856,193592,4,0.5,1
VETRI NERI,AVA,0.754,0.767,6,-4.98,1,0.0594,0.0763,4.79e-05,0.112,0.529,134.084,164776,4,0.5,1
COME VUOI,Geolier,0.756,0.631,8,-5.297,0,0.0502,0.13,0.0,0.0649,0.896,130.052,172615,4,0.8,1
SONNY - city of god,Emis Killa,0.814,0.639,6,-7.017,0,0.113,0.371,0.0,0.0859,0.414,123.859,190520,4,0.5,1
Whip (feat. YOVNGCHIMI),Shiva,0.781,0.611,5,-4.548,0,0.183,0.121,0.0,0.256,0.347,126.059,153017,4,0.5,1
Morto Mai,Lazza,0.645,0.813,7,-5.448,0,0.107,0.121,0.0,0.127,0.551,82.676,145640,4,0.5,1
Capri Sun,Capo Plaza,0.683,0.852,0,-2.755,1,0.0636,0.0454,0.0,0.246,0.448,93.068,199680,4,0.5,1
BUONANOTTE,Ernia,0.531,0.514,8,-12.734,1,0.424,0.879,1.27e-06,0.111,0.571,85.854,220299,4,0.5,1
Cookies N' Cream (feat. ANNA & Sfera Ebbasta),Guè,0.572,0.66,9,-5.375,1,0.244,0.37,0.0,0.323,0.581,123.691,201845,5,0.5,1
2 SECONDI,Geolier,0.66,0.755,9,-5.96,0,0.164,0.293,0.0,0.055,0.605,120.035,149000,4,0.5,1
SENZ'ANIMA - nikita,Emis Killa,0.489,0.697,9,-5.41,0,0.173,0.225,0.0,0.115,0.532,97.243,193453,3,0.5,1
Arsenico,Shiva,0.716,0.699,7,-5.663,1,0.252,0.404,0.0,0.115,0.238,99.889,183321,4,0.5,1
Arai (feat. Capo Plaza),Medy,0.816,0.735,4,-4.809,0,0.101,0.0653,0.0,0.126,0.675,127.988,181668,4,0.5,1
"BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)",Drillionaire,0.676,0.81,11,-5.209,1,0.0411,0.0815,1.92e-06,0.154,0.656,129.986,238534,4,0.5,1
PARAFULMINI (con Bresh & Fabri Fibra),Ernia,0.785,0.774,5,-6.028,1,0.215,0.179,0.0,0.148,0.573,110.027,208909,4,0.5,1
Anima Tormentata,BLANCO,0.339,0.801,7,-4.762,0,0.2,0.0551,0.0,0.118,0.202,93.926,176100,4,0.5,1
Léon (The Professional),Guè,0.676,0.833,7,-4.464,1,0.153,0.327,6.84e-06,0.412,0.299,95.047,162519,4,0.5,1
BIG BANG - upside down,Emis Killa,0.766,0.577,8,-9.462,1,0.163,0.221,0.0,0.0991,0.296,120.076,198253,4,0.5,1
Soli (feat. Tiago PZK & Rvssian),Shiva,0.61,0.742,10,-7.122,0,0.336,0.177,0.000254,0.176,0.382,214.047,183896,4,0.5,1
NESSUNO (feat. Geolier),Lazza,0.79,0.646,11,-5.166,0,0.191,0.0486,0.0,0.139,0.169,101.253,148452,4,0.5,1
Outro Purgatorio,Tedua,0.623,0.794,1,-6.304,1,0.265,0.141,0.0,0.137,0.358,89.495,284240,4,0.5,1
CATTIVE INTENZIONI (feat. Salmo),Ernia,0.761,0.84,1,-3.278,1,0.275,0.174,0.0,0.129,0.579,98.055,168742,4,0.5,1
Fotocopia,BLANCO,0.497,0.624,2,-6.168,0,0.039,0.26,0.0,0.575,0.194,82.138,202976,3,0.5,1
CHIAGNE (feat. Lazza & Takagi & Ketra),Geolier,0.716,0.737,6,-5.831,0,0.0578,0.115,0.0,0.0922,0.584,131.947,179864,4,0.5,1
ALBICOCCA - lolita,Emis Killa,0.753,0.705,10,-5.083,1,0.288,0.372,0.0,0.0917,0.667,85.218,162733,4,0.5,1
Diversi,Shiva,0.611,0.649,1,-6.202,0,0.323,0.333,0.0,0.158,0.316,158.036,176065,4,0.5,1
Mollami Pt.2,Guè,0.757,0.805,6,-4.84,0,0.0553,0.0802,2.93e-05,0.118,0.848,99.997,155134,4,0.8,1
PENSAVA,Icy Subzero,0.699,0.755,8,-5.421,0,0.119,0.415,0.00493,0.27,0.555,102.013,145873,4,0.5,1
BASTAVA LA METÀ (feat. Gaia & Guè),Ernia,0.654,0.766,2,-5.051,1,0.239,0.183,0.0,0.376,0.572,175.991,195476,4,0.5,1
Lacrime Di Piombo,BLANCO,0.587,0.392,4,-5.607,1,0.0325,0.739,0.0,0.0829,0.345,124.08,196694,4,0.5,1
Mamma Mia,Sfera Ebbasta,0.762,0.609,8,-5.934,0,0.0369,0.042,2.78e-06,0.25,0.266,99.971,166796,4,0.5,1
ATTORI DI STRADA - ragazzi fuori,Emis Killa,0.812,0.701,6,-6.552,0,0.231,0.161,0.0,0.209,0.197,130.069,210453,4,0.5,1
Non è Easy,Shiva,0.878,0.582,10,-5.571,0,0.195,0.00835,0.0,0.122,0.239,129.068,164657,4,0.5,1
Angelo All'Inferno (feat. Salmo & Federica Abbate),Tedua,0.573,0.798,7,-7.527,0,0.225,0.309,0.0,0.0841,0.0816,89.575,173040,4,0.5,1
Free (feat. Marracash & Rkomi),Guè,0.682,0.648,0,-6.666,1,0.358,0.457,0.0,0.356,0.687,78.312,190587,4,0.5,1
BELLA FREGATURA,Ernia,0.626,0.664,8,-5.745,1,0.306,0.109,0.0,0.0959,0.414,167.838,174103,4,0.5,1
Un Briciolo Di Allegria (con MINA),BLANCO,0.617,0.707,2,-4.31,1,0.0399,0.467,0.0,0.0481,0.392,91.925,207615,4,0.5,1
Parliamo,Luchè,0.743,0.604,8,-6.589,1,0.0376,0.109,0.0,0.0871,0.525,140.073,196714,4,0.5,1
PACINO - the godfather,Emis Killa,0.583,0.804,3,-8.695,0,0.169,0.294,0.0,0.316,0.247,115.289,122427,4,0.5,1
DESOLÉ (feat. Rhove & Geolier),Drillionaire,0.613,0.779,1,-4.592,0,0.0352,0.0267,0.0,0.281,0.266,103.006,165491,4,0.5,1
ALIBI,Lazza,0.758,0.679,0,-4.736,1,0.0804,0.272,0.0,0.0915,0.566,113.109,178052,4,0.5,1
Prefissi,Guè,0.536,0.8,5,-5.81,1,0.217,0.512,0.0,0.383,0.747,81.721,195662,4,0.5,1
NON HO SONNO,Ernia,0.815,0.712,1,-4.546,1,0.0703,0.244,0.0,0.148,0.549,99.023,176715,4,0.5,1
RICCHEZZA,Geolier,0.644,0.766,8,-5.032,1,0.305,0.394,0.0,0.1,0.122,59.178,184000,4,0.5,1
Non lo Sai,Shiva,0.585,0.678,0,-6.851,0,0.0888,0.106,0.0,0.139,0.162,127.959,228342,4,0.5,1
MC DRIVE - la haine,Emis Killa,0.834,0.729,2,-4.011,1,0.278,0.147,0.0,0.0445,0.52,89.99,180000,4,0.5,1
Allenamento #2,Capo Plaza,0.86,0.601,1,-7.247,0,0.509,0.406,0.0,0.103,0.0589,80.019,151422,4,0.5,1
CENERE,Lazza,0.652,0.628,2,-6.529,0,0.107,0.305,0.0,0.221,0.317,119.856,208324,4,0.5,1
Move Your Body (Future House),Tchami,0.818,0.87,9,-5.162,1,0.0493,0.00424,0.196,0.0429,0.741,123.999,219429,4,0.5,1
Public Safety,Badjokes,0.76,0.795,2,-5.976,1,0.073,0.091,0.811,0.209,0.155,128.0,213750,4,0.5,1
House All The Time,Biscits,0.788,0.877,5,-8.142,0,0.106,0.144,0.411,0.331,0.685,126.994,164000,4,0.5,1
The Power,Matias Sundblad,0.809,0.947,7,-6.747,1,0.0612,0.00747,0.719,0.112,0.94,124.009,444337,4,0.8,1
Half Faces (Lacchesi Remix),Baraka,0.724,0.994,10,-6.895,0,0.062,0.0157,0.791,0.144,0.395,150.006,340523,4,0.8,1
Bodysnatcher,Spektre,0.628,0.956,1,-8.679,0,0.051,0.00103,0.828,0.315,0.376,133.979,231115,4,0.8,1
"Doo Uap, Doo Uap, Doo Uap - Bart & Baker Remix",Gabin,0.745,0.618,0,-9.026,0,0.0727,0.124,0.775,0.0835,0.367,121.051,283932,4,0.5,1
Nexus - Danny Freakazoid Remix,DR. KUCHO!,0.551,0.404,4,-12.107,0,0.24,0.000655,0.91,0.0722,0.0788,128.01,427969,4,0.5,1
Singing in the Rain (Love Baby),Betina Bager,0.725,0.875,0,-5.68,1,0.0673,0.107,0.657,0.187,0.676,122.015,276147,4,0.5,1
Other Side,Azzecca,0.768,0.846,9,-6.469,1,0.0478,0.00411,0.769,0.0998,0.139,124.981,244338,4,0.5,1
"1, 2, 3, 4 (David Penn Remix)",César de Melero,0.81,0.571,9,-8.09,0,0.113,0.0215,0.054,0.194,0.305,125.009,201750,4,0.5,1
PURA VIDA,HI-LO,0.789,0.993,7,-5.843,1,0.044,0.0686,0.923,0.112,0.0343,130.006,234721,4,0.8,1
Main Ingredients,Matroda,0.795,0.996,6,-4.714,0,0.0855,0.000231,0.817,0.0461,0.592,126.001,192381,4,0.8,1
YDK,Klaudia Gawlas,0.633,0.869,9,-9.408,0,0.048,0.00152,0.923,0.112,0.0785,140.01,372085,4,0.5,1
Sex and the Machine,Pleasurekraft,0.546,0.979,5,-5.926,0,0.0739,0.00391,0.553,0.107,0.231,132.023,240123,4,0.8,1
Gimme Some Keys,Matroda,0.802,0.725,11,-5.218,0,0.0521,0.00222,0.819,0.064,0.864,124.992,169445,4,0.8,1
HYPNOSIS,AYYBO,0.96,0.872,1,-4.758,0,0.282,0.182,0.00983,0.291,0.7,125.03,158583,4,0.5,1
Papi,Joshwa,0.683,0.898,11,-6.746,0,0.054,0.000739,0.755,0.127,0.276,130.002,173538,4,0.5,1
Headnoise (Get Hype),Martin Ikin,0.704,0.989,11,-6.003,0,0.0564,0.157,0.843,0.0747,0.848,123.971,179032,4,0.8,1
Motor - Original Mix,Christian Smith,0.726,0.724,7,-9.53,1,0.0405,0.00501,0.923,0.121,0.222,123.996,380541,4,0.5,1
Take It Back,Andrea Maggino,0.818,0.898,7,-5.125,1,0.0469,0.00152,0.947,0.0132,0.338,123.005,440976,4,0.5,1
Raw - Tony Romera Remix,Julio Navas,0.865,0.967,0,-5.03,1,0.087,0.392,0.877,0.353,0.163,128.005,217500,4,0.8,1
Takoflow,Freenzy Music,0.801,0.991,1,-6.993,1,0.0574,0.000131,0.615,0.036,0.697,129.027,342326,4,0.8,1
Public Safety,Badjokes,0.76,0.795,2,-5.976,1,0.073,0.091,0.811,0.209,0.155,128.0,213750,4,0.5,1
(It Goes Like) Nanana - Edit,Peggy Gou,0.671,0.876,7,-5.681,0,0.0352,0.12,0.188,0.0823,0.964,129.998,231545,4,0.8,1
Free,Vintage Culture,0.704,0.936,9,-3.99,1,0.0745,0.00207,0.00026,0.218,0.357,125.018,237024,4,0.8,1
Bongoloco,Bruno Furlan,0.797,0.665,2,-7.612,1,0.106,0.00504,0.757,0.0789,0.0747,128.036,206250,4,0.5,1
Smooth Operator,Liyah,0.553,0.916,9,-7.142,0,0.378,0.0742,0.0192,0.14,0.499,125.892,198095,4,0.8,1
So 1992 - Radio Slave & P.Leone Remix,Deep Dimension,0.683,0.738,11,-6.301,0,0.0312,9.85e-05,0.849,0.0985,0.227,130.003,444923,4,0.5,1
Stuck On Repeat,Beau,0.725,0.808,5,-6.302,1,0.0375,0.00128,0.0667,0.126,0.771,125.502,186479,4,0.5,1
The Magnificent - Booker T '98 Lick Mix,Agent 00,0.697,0.942,1,-5.815,1,0.0537,0.00259,0.324,0.0381,0.772,127.007,368333,4,0.8,1
Matador,BLVD.,0.72,0.916,1,-4.697,1,0.0678,0.00953,0.947,0.297,0.385,125.022,230400,4,0.8,1
Chutney Mayhem - Chaim & Mita Gami Remix,Niv Ast,0.804,0.672,10,-10.249,0,0.0869,0.00145,0.894,0.0804,0.451,123.02,335122,4,0.5,1
Touch The Darkness,Victor Ruiz,0.611,0.99,7,-8.508,1,0.0602,0.00105,0.915,0.273,0.0664,135.02,453333,4,0.8,1
Laser Bolt,T78,0.718,0.732,10,-6.195,0,0.0436,0.000141,0.759,0.0867,0.284,135.013,309333,4,0.5,1
